<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,secid
2017-10-02,113330.0,113490.0,112690.0,112800.0,323110,RTS
2017-10-03,112770.0,113390.0,112560.0,112890.0,328591,RTS
2017-10-04,112960.0,113930.0,112710.0,113320.0,350000,RTS
2017-10-05,113350.0,114640.0,113190.0,114320.0,395532,RTS
2017-10-06,114340.0,114760.0,113250.0,113390.0,396703,RTS
2017-10-09,113430.0,113640.0,112560.0,113020.0,312183,RTS
2017-10-10,113070.0,113940.0,113070.0,113490.0,288772,RTS
2017-10-11,113490.0,114560.0,113460.0,114300.0,308378,RTS
2017-10-12,114330.0,114780.0,113980.0,114250.0,293027,RTS
2017-10-13,114270.0,115620.0,114220.0,115330.0,334236,RTS
2017-10-16,115350.0,116260.0,115350.0,115730.0,285460,RTS
2017-10-17,115640.0,115640.0,114320.0,115010.0,356396,RTS
2017-10-18,115020.0,115540.0,114630.0,115020.0,358731,RTS
2017-10-19,115010.0,115150.0,113560.0,113830.0,425401,RTS
2017-10-20,113850.0,114290.0,113210.0,113910.0,363065,RTS
2017-10-23,113910.0,114070.0,113080.0,113110.0,272319,RTS
2017-10-24,113130.0,113570.0,112710.0,113390.0,349525,RTS
2017-10-25,113350.0,113470.0,111720.0,111930.0,375144,RTS
2017-10-26,111950.0,112240.0,111160.0,112040.0,402131,RTS
2017-10-27,112030.0,112460.0,110660.0,112100.0,493924,RTS
2017-10-30,112180.0,113430.0,112060.0,112660.0,377955,RTS
2017-10-31,112700.0,112790.0,111460.0,111650.0,370335,RTS
2017-11-01,111700.0,113220.0,111700.0,112100.0,462273,RTS
2017-11-02,112100.0,112560.0,111510.0,112420.0,387380,RTS
2017-11-03,112440.0,113050.0,110830.0,111540.0,534171,RTS
2017-11-07,111630.0,115160.0,111630.0,114020.0,596745,RTS
2017-11-08,113990.0,115780.0,113600.0,115220.0,482818,RTS
2017-11-09,115220.0,115970.0,114470.0,115570.0,592374,RTS
2017-11-10,115500.0,116250.0,115210.0,115580.0,495117,RTS
2017-11-13,115560.0,116690.0,114620.0,115000.0,551355,RTS
2017-11-14,115000.0,115110.0,113200.0,113310.0,555317,RTS
2017-11-15,113200.0,113200.0,111480.0,111560.0,504711,RTS
2017-11-16,111610.0,112730.0,110770.0,112480.0,627077,RTS
2017-11-17,112510.0,113790.0,112160.0,113650.0,441561,RTS
2017-11-20,113540.0,113540.0,112250.0,113030.0,400686,RTS
2017-11-21,113080.0,114480.0,113010.0,114290.0,445138,RTS
2017-11-22,114310.0,115940.0,114310.0,115940.0,390623,RTS
2017-11-23,115930.0,116140.0,115160.0,115800.0,355132,RTS
2017-11-24,115750.0,116580.0,115120.0,116170.0,407713,RTS
2017-11-27,116150.0,116800.0,115060.0,115160.0,423287,RTS
2017-11-28,115160.0,115840.0,114450.0,115460.0,462678,RTS
2017-11-29,115450.0,115980.0,113100.0,113360.0,594382,RTS
2017-11-30,113490.0,114160.0,112420.0,112720.0,544407,RTS
2017-12-01,112810.0,113260.0,110480.0,111450.0,593880,RTS
2017-12-04,111450.0,113350.0,110850.0,112680.0,530091,RTS
2017-12-05,112610.0,113340.0,112500.0,112900.0,364379,RTS
2017-12-06,112830.0,113030.0,111660.0,112040.0,428371,RTS
2017-12-07,112030.0,112410.0,111380.0,111990.0,413014,RTS
2017-12-08,112010.0,112430.0,111050.0,111720.0,417960,RTS
2017-12-11,112230.0,114850.0,112230.0,114760.0,8770,RTS
2017-12-12,114900.0,115760.0,114240.0,114420.0,11987,RTS
2017-12-13,114530.0,115330.0,114020.0,115030.0,15152,RTS
2017-12-14,115030.0,115360.0,114440.0,115130.0,16105,RTS
2017-12-15,115030.0,115300.0,114410.0,114730.0,31820,RTS
2017-12-18,114800.0,116020.0,114230.0,114730.0,63984,RTS
2017-12-19,114880.0,115320.0,113480.0,113580.0,110564,RTS
2017-12-20,113730.0,114230.0,113100.0,113750.0,157526,RTS
2017-12-21,113720.0,114090.0,113000.0,113740.0,331360,RTS
2017-12-22,113760.0,114920.0,113710.0,114830.0,279696,RTS
2017-12-25,114890.0,115280.0,114680.0,115030.0,130175,RTS
2017-12-26,115100.0,115800.0,114510.0,115750.0,236967,RTS
2017-12-27,115770.0,115960.0,115220.0,115460.0,246422,RTS
2017-12-28,115460.0,115820.0,115030.0,115400.0,183600,RTS
2017-12-29,115460.0,116740.0,114920.0,116370.0,176569,RTS
2018-01-03,116390.0,119950.0,115410.0,119230.0,277840,RTS
2018-01-04,119330.0,122590.0,119250.0,122530.0,383299,RTS
2018-01-05,122440.0,122950.0,121470.0,122710.0,249867,RTS
2018-01-09,122880.0,124520.0,122720.0,123920.0,328893,RTS
2018-01-10,123930.0,124390.0,122920.0,123680.0,354152,RTS
2018-01-11,123680.0,125760.0,123130.0,125560.0,329795,RTS
2018-01-12,125590.0,127050.0,124760.0,126910.0,396629,RTS
2018-01-15,126990.0,127860.0,126430.0,127170.0,348457,RTS
2018-01-16,127120.0,127260.0,125060.0,125300.0,422062,RTS
2018-01-17,125270.0,127470.0,124650.0,126830.0,485696,RTS
2018-01-18,126830.0,129480.0,126820.0,129280.0,492495,RTS
2018-01-19,129160.0,129190.0,127090.0,127810.0,399256,RTS
2018-01-22,127810.0,129270.0,127650.0,129010.0,324000,RTS
2018-01-23,129020.0,129910.0,127470.0,129040.0,441242,RTS
2018-01-24,129030.0,130200.0,127890.0,130130.0,432627,RTS
2018-01-25,130180.0,131950.0,130130.0,130720.0,594614,RTS
2018-01-26,130720.0,131380.0,128610.0,129160.0,474462,RTS
2018-01-29,129200.0,129580.0,127550.0,127690.0,438858,RTS
2018-01-30,127600.0,129600.0,127030.0,127600.0,575871,RTS
2018-01-31,127600.0,128990.0,127310.0,128550.0,487110,RTS
2018-02-01,128580.0,130270.0,128300.0,129570.0,530007,RTS
2018-02-02,129450.0,130300.0,126830.0,126930.0,574322,RTS
2018-02-05,126900.0,127370.0,124270.0,124350.0,713393,RTS
2018-02-06,124300.0,126140.0,122000.0,125740.0,1123370,RTS
2018-02-07,125770.0,126150.0,122610.0,122700.0,699969,RTS
2018-02-08,122690.0,123690.0,119610.0,119610.0,912189,RTS
2018-02-09,119680.0,120440.0,115200.0,119450.0,1250075,RTS
2018-02-12,119590.0,122320.0,119590.0,121610.0,802857,RTS
2018-02-13,121670.0,123480.0,121340.0,123460.0,660159,RTS
2018-02-14,123410.0,126330.0,122110.0,126320.0,874956,RTS
2018-02-15,126330.0,127520.0,125670.0,127410.0,687203,RTS
2018-02-16,127440.0,128090.0,125310.0,126100.0,683651,RTS
2018-02-19,126260.0,127190.0,125820.0,126290.0,344631,RTS
2018-02-20,126300.0,127200.0,125720.0,126390.0,448255,RTS
2018-02-21,126350.0,129850.0,126190.0,128420.0,593514,RTS
2018-02-22,128420.0,131050.0,128150.0,130670.0,467820,RTS
2018-02-26,130750.0,134280.0,130750.0,133860.0,530067,RTS
2018-02-27,133860.0,133920.0,130320.0,130480.0,576363,RTS
2018-02-28,130410.0,130940.0,128100.0,128280.0,549690,RTS
2018-03-01,128160.0,128740.0,126500.0,128020.0,774275,RTS
2018-03-02,128000.0,128360.0,124920.0,127590.0,741399,RTS
2018-03-05,127470.0,129480.0,126950.0,129460.0,485458,RTS
2018-03-06,129480.0,129910.0,127010.0,127430.0,542150,RTS
2018-03-07,127450.0,127450.0,125600.0,126830.0,587415,RTS
2018-03-09,126730.0,129190.0,126140.0,128940.0,325835,RTS
2018-03-12,128600.0,129250.0,127820.0,128620.0,24165,RTS
2018-03-13,128260.0,129120.0,126800.0,127110.0,143208,RTS
2018-03-14,127070.0,128070.0,125120.0,125600.0,230089,RTS
